GEO.id,GEO.id2,GEO.display-label,HC02_VC01,HC03_VC01,HC04_VC01,HC06_VC01,HC07_VC01,HC08_VC01,HC09_VC01,HC02_VC02,HC03_VC02,HC04_VC02,HC06_VC02,HC07_VC02,HC08_VC02,HC09_VC02,HC02_VC03,HC03_VC03,HC04_VC03,HC06_VC03,HC07_VC03,HC08_VC03,HC09_VC03,HC02_VC04,HC03_VC04,HC04_VC04,HC06_VC04,HC07_VC04,HC08_VC04,HC09_VC04,HC02_VC05,HC03_VC05,HC04_VC05,HC06_VC05,HC07_VC05,HC08_VC05,HC09_VC05,HC02_VC06,HC03_VC06,HC04_VC06,HC06_VC06,HC07_VC06,HC08_VC06,HC09_VC06,HC02_VC07,HC03_VC07,HC04_VC07,HC06_VC07,HC07_VC07,HC08_VC07,HC09_VC07,HC02_VC08,HC03_VC08,HC04_VC08,HC06_VC08,HC07_VC08,HC08_VC08,HC09_VC08,HC02_VC09,HC03_VC09,HC04_VC09,HC06_VC09,HC07_VC09,HC08_VC09,HC09_VC09,HC02_VC10,HC03_VC10,HC04_VC10,HC06_VC10,HC07_VC10,HC08_VC10,HC09_VC10,HC02_VC11,HC03_VC11,HC04_VC11,HC06_VC11,HC07_VC11,HC08_VC11,HC09_VC11,HC02_VC12,HC03_VC12,HC04_VC12,HC06_VC12,HC07_VC12,HC08_VC12,HC09_VC12,HC02_VC13,HC03_VC13,HC04_VC13,HC06_VC13,HC07_VC13,HC08_VC13,HC09_VC13,HC02_VC14,HC03_VC14,HC04_VC14,HC06_VC14,HC07_VC14,HC08_VC14,HC09_VC14,HC02_VC15,HC03_VC15,HC04_VC15,HC06_VC15,HC07_VC15,HC08_VC15,HC09_VC15,HC02_VC16,HC03_VC16,HC04_VC16,HC06_VC16,HC07_VC16,HC08_VC16,HC09_VC16,HC02_VC17,HC03_VC17,HC04_VC17,HC06_VC17,HC07_VC17,HC08_VC17,HC09_VC17,HC02_VC18,HC03_VC18,HC04_VC18,HC06_VC18,HC07_VC18,HC08_VC18,HC09_VC18,HC02_VC19,HC03_VC19,HC04_VC19,HC06_VC19,HC07_VC19,HC08_VC19,HC09_VC19,HC02_VC20,HC03_VC20,HC04_VC20,HC06_VC20,HC07_VC20,HC08_VC20,HC09_VC20,HC02_VC21,HC03_VC21,HC04_VC21,HC06_VC21,HC07_VC21,HC08_VC21,HC09_VC21,HC02_VC22,HC03_VC22,HC04_VC22,HC06_VC22,HC07_VC22,HC08_VC22,HC09_VC22,HC02_VC23,HC03_VC23,HC04_VC23,HC06_VC23,HC07_VC23,HC08_VC23,HC09_VC23,HC02_VC24,HC03_VC24,HC04_VC24,HC06_VC24,HC07_VC24,HC08_VC24,HC09_VC24,HC02_VC25,HC03_VC25,HC04_VC25,HC06_VC25,HC07_VC25,HC08_VC25,HC09_VC25,HC02_VC26,HC03_VC26,HC04_VC26,HC06_VC26,HC07_VC26,HC08_VC26,HC09_VC26,HC02_VC27,HC03_VC27,HC04_VC27,HC06_VC27,HC07_VC27,HC08_VC27,HC09_VC27,HC02_VC28,HC03_VC28,HC04_VC28,HC06_VC28,HC07_VC28,HC08_VC28,HC09_VC28,HC02_VC29,HC03_VC29,HC04_VC29,HC06_VC29,HC07_VC29,HC08_VC29,HC09_VC29,HC02_VC30,HC03_VC30,HC04_VC30,HC06_VC30,HC07_VC30,HC08_VC30,HC09_VC30,HC02_VC31,HC03_VC31,HC04_VC31,HC06_VC31,HC07_VC31,HC08_VC31,HC09_VC31,HC02_VC32,HC03_VC32,HC04_VC32,HC06_VC32,HC07_VC32,HC08_VC32,HC09_VC32,HC02_VC33,HC03_VC33,HC04_VC33,HC06_VC33,HC07_VC33,HC08_VC33,HC09_VC33,HC02_VC34,HC03_VC34,HC04_VC34,HC06_VC34,HC07_VC34,HC08_VC34,HC09_VC34,HC02_VC35,HC03_VC35,HC04_VC35,HC06_VC35,HC07_VC35,HC08_VC35,HC09_VC35,HC02_VC36,HC03_VC36,HC04_VC36,HC06_VC36,HC07_VC36,HC08_VC36,HC09_VC36,HC02_VC37,HC03_VC37,HC04_VC37,HC06_VC37,HC07_VC37,HC08_VC37,HC09_VC37,HC02_VC38,HC03_VC38,HC04_VC38,HC06_VC38,HC07_VC38,HC08_VC38,HC09_VC38,HC02_VC39,HC03_VC39,HC04_VC39,HC06_VC39,HC07_VC39,HC08_VC39,HC09_VC39,HC02_VC40,HC03_VC40,HC04_VC40,HC06_VC40,HC07_VC40,HC08_VC40,HC09_VC40,HC02_VC41,HC03_VC41,HC04_VC41,HC06_VC41,HC07_VC41,HC08_VC41,HC09_VC41
Id,Id2,Geography,Number - Both sexes; Total population,Number - Male; Total population,Number - Female; Total population,Percent - Both sexes; Total population,Percent - Male; Total population,Percent - Female; Total population,Males per 100 females; Total population,Number - Both sexes; Total population - Under 5 years,Number - Male; Total population - Under 5 years,Number - Female; Total population - Under 5 years,Percent - Both sexes; Total population - Under 5 years,Percent - Male; Total population - Under 5 years,Percent - Female; Total population - Under 5 years,Males per 100 females; Total population - Under 5 years,Number - Both sexes; Total population - 5 to 9 years,Number - Male; Total population - 5 to 9 years,Number - Female; Total population - 5 to 9 years,Percent - Both sexes; Total population - 5 to 9 years,Percent - Male; Total population - 5 to 9 years,Percent - Female; Total population - 5 to 9 years,Males per 100 females; Total population - 5 to 9 years,Number - Both sexes; Total population - 10 to 14 years,Number - Male; Total population - 10 to 14 years,Number - Female; Total population - 10 to 14 years,Percent - Both sexes; Total population - 10 to 14 years,Percent - Male; Total population - 10 to 14 years,Percent - Female; Total population - 10 to 14 years,Males per 100 females; Total population - 10 to 14 years,Number - Both sexes; Total population - 15 to 19 years,Number - Male; Total population - 15 to 19 years,Number - Female; Total population - 15 to 19 years,Percent - Both sexes; Total population - 15 to 19 years,Percent - Male; Total population - 15 to 19 years,Percent - Female; Total population - 15 to 19 years,Males per 100 females; Total population - 15 to 19 years,Number - Both sexes; Total population - 20 to 24 years,Number - Male; Total population - 20 to 24 years,Number - Female; Total population - 20 to 24 years,Percent - Both sexes; Total population - 20 to 24 years,Percent - Male; Total population - 20 to 24 years,Percent - Female; Total population - 20 to 24 years,Males per 100 females; Total population - 20 to 24 years,Number - Both sexes; Total population - 25 to 29 years,Number - Male; Total population - 25 to 29 years,Number - Female; Total population - 25 to 29 years,Percent - Both sexes; Total population - 25 to 29 years,Percent - Male; Total population - 25 to 29 years,Percent - Female; Total population - 25 to 29 years,Males per 100 females; Total population - 25 to 29 years,Number - Both sexes; Total population - 30 to 34 years,Number - Male; Total population - 30 to 34 years,Number - Female; Total population - 30 to 34 years,Percent - Both sexes; Total population - 30 to 34 years,Percent - Male; Total population - 30 to 34 years,Percent - Female; Total population - 30 to 34 years,Males per 100 females; Total population - 30 to 34 years,Number - Both sexes; Total population - 35 to 39 years,Number - Male; Total population - 35 to 39 years,Number - Female; Total population - 35 to 39 years,Percent - Both sexes; Total population - 35 to 39 years,Percent - Male; Total population - 35 to 39 years,Percent - Female; Total population - 35 to 39 years,Males per 100 females; Total population - 35 to 39 years,Number - Both sexes; Total population - 40 to 44 years,Number - Male; Total population - 40 to 44 years,Number - Female; Total population - 40 to 44 years,Percent - Both sexes; Total population - 40 to 44 years,Percent - Male; Total population - 40 to 44 years,Percent - Female; Total population - 40 to 44 years,Males per 100 females; Total population - 40 to 44 years,Number - Both sexes; Total population - 45 to 49 years,Number - Male; Total population - 45 to 49 years,Number - Female; Total population - 45 to 49 years,Percent - Both sexes; Total population - 45 to 49 years,Percent - Male; Total population - 45 to 49 years,Percent - Female; Total population - 45 to 49 years,Males per 100 females; Total population - 45 to 49 years,Number - Both sexes; Total population - 50 to 54 years,Number - Male; Total population - 50 to 54 years,Number - Female; Total population - 50 to 54 years,Percent - Both sexes; Total population - 50 to 54 years,Percent - Male; Total population - 50 to 54 years,Percent - Female; Total population - 50 to 54 years,Males per 100 females; Total population - 50 to 54 years,Number - Both sexes; Total population - 55 to 59 years,Number - Male; Total population - 55 to 59 years,Number - Female; Total population - 55 to 59 years,Percent - Both sexes; Total population - 55 to 59 years,Percent - Male; Total population - 55 to 59 years,Percent - Female; Total population - 55 to 59 years,Males per 100 females; Total population - 55 to 59 years,Number - Both sexes; Total population - 60 to 64 years,Number - Male; Total population - 60 to 64 years,Number - Female; Total population - 60 to 64 years,Percent - Both sexes; Total population - 60 to 64 years,Percent - Male; Total population - 60 to 64 years,Percent - Female; Total population - 60 to 64 years,Males per 100 females; Total population - 60 to 64 years,Number - Both sexes; Total population - 65 to 69 years,Number - Male; Total population - 65 to 69 years,Number - Female; Total population - 65 to 69 years,Percent - Both sexes; Total population - 65 to 69 years,Percent - Male; Total population - 65 to 69 years,Percent - Female; Total population - 65 to 69 years,Males per 100 females; Total population - 65 to 69 years,Number - Both sexes; Total population - 70 to 74 years,Number - Male; Total population - 70 to 74 years,Number - Female; Total population - 70 to 74 years,Percent - Both sexes; Total population - 70 to 74 years,Percent - Male; Total population - 70 to 74 years,Percent - Female; Total population - 70 to 74 years,Males per 100 females; Total population - 70 to 74 years,Number - Both sexes; Total population - 75 to 79 years,Number - Male; Total population - 75 to 79 years,Number - Female; Total population - 75 to 79 years,Percent - Both sexes; Total population - 75 to 79 years,Percent - Male; Total population - 75 to 79 years,Percent - Female; Total population - 75 to 79 years,Males per 100 females; Total population - 75 to 79 years,Number - Both sexes; Total population - 80 to 84 years,Number - Male; Total population - 80 to 84 years,Number - Female; Total population - 80 to 84 years,Percent - Both sexes; Total population - 80 to 84 years,Percent - Male; Total population - 80 to 84 years,Percent - Female; Total population - 80 to 84 years,Males per 100 females; Total population - 80 to 84 years,Number - Both sexes; Total population - 85 to 89 years,Number - Male; Total population - 85 to 89 years,Number - Female; Total population - 85 to 89 years,Percent - Both sexes; Total population - 85 to 89 years,Percent - Male; Total population - 85 to 89 years,Percent - Female; Total population - 85 to 89 years,Males per 100 females; Total population - 85 to 89 years,Number - Both sexes; Total population - 90 years and over,Number - Male; Total population - 90 years and over,Number - Female; Total population - 90 years and over,Percent - Both sexes; Total population - 90 years and over,Percent - Male; Total population - 90 years and over,Percent - Female; Total population - 90 years and over,Males per 100 females; Total population - 90 years and over,Number - Both sexes; Total population - Under 18 years,Number - Male; Total population - Under 18 years,Number - Female; Total population - Under 18 years,Percent - Both sexes; Total population - Under 18 years,Percent - Male; Total population - Under 18 years,Percent - Female; Total population - Under 18 years,Males per 100 females; Total population - Under 18 years,Number - Both sexes; Total population - 18 to 64 years,Number - Male; Total population - 18 to 64 years,Number - Female; Total population - 18 to 64 years,Percent - Both sexes; Total population - 18 to 64 years,Percent - Male; Total population - 18 to 64 years,Percent - Female; Total population - 18 to 64 years,Males per 100 females; Total population - 18 to 64 years,Number - Both sexes; Total population - 18 to 64 years - 18 to 24 years,Number - Male; Total population - 18 to 64 years - 18 to 24 years,Number - Female; Total population - 18 to 64 years - 18 to 24 years,Percent - Both sexes; Total population - 18 to 64 years - 18 to 24 years,Percent - Male; Total population - 18 to 64 years - 18 to 24 years,Percent - Female; Total population - 18 to 64 years - 18 to 24 years,Males per 100 females; Total population - 18 to 64 years - 18 to 24 years,Number - Both sexes; Total population - 18 to 64 years - 25 to 44 years,Number - Male; Total population - 18 to 64 years - 25 to 44 years,Number - Female; Total population - 18 to 64 years - 25 to 44 years,Percent - Both sexes; Total population - 18 to 64 years - 25 to 44 years,Percent - Male; Total population - 18 to 64 years - 25 to 44 years,Percent - Female; Total population - 18 to 64 years - 25 to 44 years,Males per 100 females; Total population - 18 to 64 years - 25 to 44 years,Number - Both sexes; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years,Number - Male; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years,Number - Female; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years,Percent - Both sexes; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years,Percent - Male; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years,Percent - Female; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years,Males per 100 females; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years,Number - Both sexes; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years,Number - Male; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years,Number - Female; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years,Percent - Both sexes; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years,Percent - Male; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years,Percent - Female; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years,Males per 100 females; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years,Number - Both sexes; Total population - 18 to 64 years - 45 to 64 years,Number - Male; Total population - 18 to 64 years - 45 to 64 years,Number - Female; Total population - 18 to 64 years - 45 to 64 years,Percent - Both sexes; Total population - 18 to 64 years - 45 to 64 years,Percent - Male; Total population - 18 to 64 years - 45 to 64 years,Percent - Female; Total population - 18 to 64 years - 45 to 64 years,Males per 100 females; Total population - 18 to 64 years - 45 to 64 years,Number - Both sexes; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years,Number - Male; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years,Number - Female; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years,Percent - Both sexes; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years,Percent - Male; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years,Percent - Female; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years,Males per 100 females; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years,Number - Both sexes; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years,Number - Male; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years,Number - Female; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years,Percent - Both sexes; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years,Percent - Male; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years,Percent - Female; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years,Males per 100 females; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years,Number - Both sexes; Total population - 65 years and over,Number - Male; Total population - 65 years and over,Number - Female; Total population - 65 years and over,Percent - Both sexes; Total population - 65 years and over,Percent - Male; Total population - 65 years and over,Percent - Female; Total population - 65 years and over,Males per 100 females; Total population - 65 years and over,Number - Both sexes; Total population - 65 years and over - 65 to 74 years,Number - Male; Total population - 65 years and over - 65 to 74 years,Number - Female; Total population - 65 years and over - 65 to 74 years,Percent - Both sexes; Total population - 65 years and over - 65 to 74 years,Percent - Male; Total population - 65 years and over - 65 to 74 years,Percent - Female; Total population - 65 years and over - 65 to 74 years,Males per 100 females; Total population - 65 years and over - 65 to 74 years,Number - Both sexes; Total population - 65 years and over - 75 to 84 years,Number - Male; Total population - 65 years and over - 75 to 84 years,Number - Female; Total population - 65 years and over - 75 to 84 years,Percent - Both sexes; Total population - 65 years and over - 75 to 84 years,Percent - Male; Total population - 65 years and over - 75 to 84 years,Percent - Female; Total population - 65 years and over - 75 to 84 years,Males per 100 females; Total population - 65 years and over - 75 to 84 years,Number - Both sexes; Total population - 65 years and over - 85 years and over,Number - Male; Total population - 65 years and over - 85 years and over,Number - Female; Total population - 65 years and over - 85 years and over,Percent - Both sexes; Total population - 65 years and over - 85 years and over,Percent - Male; Total population - 65 years and over - 85 years and over,Percent - Female; Total population - 65 years and over - 85 years and over,Males per 100 females; Total population - 65 years and over - 85 years and over,Number - Both sexes; Total population - 16 years and over,Number - Male; Total population - 16 years and over,Number - Female; Total population - 16 years and over,Percent - Both sexes; Total population - 16 years and over,Percent - Male; Total population - 16 years and over,Percent - Female; Total population - 16 years and over,Males per 100 females; Total population - 16 years and over,Number - Both sexes; Total population - 18 years and over,Number - Male; Total population - 18 years and over,Number - Female; Total population - 18 years and over,Percent - Both sexes; Total population - 18 years and over,Percent - Male; Total population - 18 years and over,Percent - Female; Total population - 18 years and over,Males per 100 females; Total population - 18 years and over,Number - Both sexes; Total population - 21 years and over,Number - Male; Total population - 21 years and over,Number - Female; Total population - 21 years and over,Percent - Both sexes; Total population - 21 years and over,Percent - Male; Total population - 21 years and over,Percent - Female; Total population - 21 years and over,Males per 100 females; Total population - 21 years and over,Number - Both sexes; Total population - 60 years and over,Number - Male; Total population - 60 years and over,Number - Female; Total population - 60 years and over,Percent - Both sexes; Total population - 60 years and over,Percent - Male; Total population - 60 years and over,Percent - Female; Total population - 60 years and over,Males per 100 females; Total population - 60 years and over,Number - Both sexes; Total population - 62 years and over,Number - Male; Total population - 62 years and over,Number - Female; Total population - 62 years and over,Percent - Both sexes; Total population - 62 years and over,Percent - Male; Total population - 62 years and over,Percent - Female; Total population - 62 years and over,Males per 100 females; Total population - 62 years and over,Number - Both sexes; Total population - 67 years and over,Number - Male; Total population - 67 years and over,Number - Female; Total population - 67 years and over,Percent - Both sexes; Total population - 67 years and over,Percent - Male; Total population - 67 years and over,Percent - Female; Total population - 67 years and over,Males per 100 females; Total population - 67 years and over,Number - Both sexes; Total population - 75 years and over,Number - Male; Total population - 75 years and over,Number - Female; Total population - 75 years and over,Percent - Both sexes; Total population - 75 years and over,Percent - Male; Total population - 75 years and over,Percent - Female; Total population - 75 years and over,Males per 100 females; Total population - 75 years and over,Number - Both sexes; Total population - Median age (years),Number - Male; Total population - Median age (years),Number - Female; Total population - Median age (years),Percent - Both sexes; Total population - Median age (years),Percent - Male; Total population - Median age (years),Percent - Female; Total population - Median age (years),Males per 100 females; Total population - Median age (years)
0100000US,,United States,281421906,138053563,143368343,100.0,100.0,100.0,96.3,19175798,9810733,9365065,6.8,7.1,6.5,104.8,20549505,10523277,10026228,7.3,7.6,7.0,105.0,20528072,10520197,10007875,7.3,7.6,7.0,105.1,20219890,10391004,9828886,7.2,7.5,6.9,105.7,18964001,9687814,9276187,6.7,7.0,6.5,104.4,19381336,9798760,9582576,6.9,7.1,6.7,102.3,20510388,10321769,10188619,7.3,7.5,7.1,101.3,22706664,11318696,11387968,8.1,8.2,7.9,99.4,22441863,11129102,11312761,8.0,8.1,7.9,98.4,20092404,9889506,10202898,7.1,7.2,7.1,96.9,17585548,8607724,8977824,6.2,6.2,6.3,95.9,13469237,6508729,6960508,4.8,4.7,4.9,93.5,10805447,5136627,5668820,3.8,3.7,4.0,90.6,9533545,4400362,5133183,3.4,3.2,3.6,85.7,8857441,3902912,4954529,3.1,2.8,3.5,78.8,7415813,3044456,4371357,2.6,2.2,3.0,69.6,4945367,1834897,3110470,1.8,1.3,2.2,59.0,2789818,876501,1913317,1.0,0.6,1.3,45.8,1449769,350497,1099272,0.5,0.3,0.8,31.9,72293812,37059196,35234616,25.7,26.8,24.6,105.2,174136341,86584742,87551599,61.9,62.7,61.1,98.9,27143454,13873829,13269625,9.6,10.0,9.3,104.6,85040251,42568327,42471924,30.2,30.8,29.6,100.2,39891724,20120529,19771195,14.2,14.6,13.8,101.8,45148527,22447798,22700729,16.0,16.3,15.8,98.9,61952636,30142586,31810050,22.0,21.8,22.2,94.8,37677952,18497230,19180722,13.4,13.4,13.4,96.4,24274684,11645356,12629328,8.6,8.4,8.8,92.2,34991753,14409625,20582128,12.4,10.4,14.4,70.0,18390986,8303274,10087712,6.5,6.0,7.0,82.3,12361180,4879353,7481827,4.4,3.5,5.2,65.2,4239587,1226998,3012589,1.5,0.9,2.1,40.7,217149127,105134229,112014898,77.2,76.2,78.1,93.9,209128094,100994367,108133727,74.3,73.2,75.4,93.4,196899193,94737132,102162061,70.0,68.6,71.3,92.7,45797200,19546252,26250948,16.3,14.2,18.3,74.5,41256029,17373013,23883016,14.7,12.6,16.7,72.7,31101522,12594818,18506704,11.1,9.1,12.9,68.1,16600767,6106351,10494416,5.9,4.4,7.3,58.2,35.3,34.0,36.5,(X),(X),(X),(X)
