GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD03_S15,Males per 100 females; Total population - 65 to 69 years
SUBHD0101_S16,Number - Both sexes; Total population - 70 to 74 years
SUBHD0102_S16,Number - Male; Total population - 70 to 74 years
SUBHD0103_S16,Number - Female; Total population - 70 to 74 years
SUBHD0201_S16,Percent - Both sexes; Total population - 70 to 74 years
SUBHD0202_S16,Percent - Male; Total population - 70 to 74 years
SUBHD0203_S16,Percent - Female; Total population - 70 to 74 years
HD03_S16,Males per 100 females; Total population - 70 to 74 years
SUBHD0101_S17,Number - Both sexes; Total population - 75 to 79 years
SUBHD0102_S17,Number - Male; Total population - 75 to 79 years
SUBHD0103_S17,Number - Female; Total population - 75 to 79 years
SUBHD0201_S17,Percent - Both sexes; Total population - 75 to 79 years
SUBHD0202_S17,Percent - Male; Total population - 75 to 79 years
SUBHD0203_S17,Percent - Female; Total population - 75 to 79 years
HD03_S17,Males per 100 females; Total population - 75 to 79 years
SUBHD0101_S18,Number - Both sexes; Total population - 80 to 84 years
SUBHD0102_S18,Number - Male; Total population - 80 to 84 years
SUBHD0103_S18,Number - Female; Total population - 80 to 84 years
SUBHD0201_S18,Percent - Both sexes; Total population - 80 to 84 years
SUBHD0202_S18,Percent - Male; Total population - 80 to 84 years
SUBHD0203_S18,Percent - Female; Total population - 80 to 84 years
HD03_S18,Males per 100 females; Total population - 80 to 84 years
SUBHD0101_S19,Number - Both sexes; Total population - 85 to 89 years
SUBHD0102_S19,Number - Male; Total population - 85 to 89 years
SUBHD0103_S19,Number - Female; Total population - 85 to 89 years
SUBHD0201_S19,Percent - Both sexes; Total population - 85 to 89 years
SUBHD0202_S19,Percent - Male; Total population - 85 to 89 years
SUBHD0203_S19,Percent - Female; Total population - 85 to 89 years
HD03_S19,Males per 100 females; Total population - 85 to 89 years
SUBHD0101_S20,Number - Both sexes; Total population - 90 years and over
SUBHD0102_S20,Number - Male; Total population - 90 years and over
SUBHD0103_S20,Number - Female; Total population - 90 years and over
SUBHD0201_S20,Percent - Both sexes; Total population - 90 years and over
SUBHD0202_S20,Percent - Male; Total population - 90 years and over
SUBHD0203_S20,Percent - Female; Total population - 90 years and over
HD03_S20,Males per 100 females; Total population - 90 years and over
SUBHD0101_S21,Number - Both sexes; Total population - Under 18 years
SUBHD0102_S21,Number - Male; Total population - Under 18 years
SUBHD0103_S21,Number - Female; Total population - Under 18 years
SUBHD0201_S21,Percent - Both sexes; Total population - Under 18 years
SUBHD0202_S21,Percent - Male; Total population - Under 18 years
SUBHD0203_S21,Percent - Female; Total population - Under 18 years
HD03_S21,Males per 100 females; Total population - Under 18 years
SUBHD0101_S22,Number - Both sexes; Total population - 18 to 64 years
SUBHD0102_S22,Number - Male; Total population - 18 to 64 years
SUBHD0103_S22,Number - Female; Total population - 18 to 64 years
SUBHD0201_S22,Percent - Both sexes; Total population - 18 to 64 years
SUBHD0202_S22,Percent - Male; Total population - 18 to 64 years
SUBHD0203_S22,Percent - Female; Total population - 18 to 64 years
HD03_S22,Males per 100 females; Total population - 18 to 64 years
SUBHD0101_S23,Number - Both sexes; Total population - 18 to 64 years - 18 to 24 years
SUBHD0102_S23,Number - Male; Total population - 18 to 64 years - 18 to 24 years
SUBHD0103_S23,Number - Female; Total population - 18 to 64 years - 18 to 24 years
SUBHD0201_S23,Percent - Both sexes; Total population - 18 to 64 years - 18 to 24 years
SUBHD0202_S23,Percent - Male; Total population - 18 to 64 years - 18 to 24 years
SUBHD0203_S23,Percent - Female; Total population - 18 to 64 years - 18 to 24 years
HD03_S23,Males per 100 females; Total population - 18 to 64 years - 18 to 24 years
SUBHD0101_S24,Number - Both sexes; Total population - 18 to 64 years - 25 to 44 years
SUBHD0102_S24,Number - Male; Total population - 18 to 64 years - 25 to 44 years
SUBHD0103_S24,Number - Female; Total population - 18 to 64 years - 25 to 44 years
SUBHD0201_S24,Percent - Both sexes; Total population - 18 to 64 years - 25 to 44 years
SUBHD0202_S24,Percent - Male; Total population - 18 to 64 years - 25 to 44 years
